SentryBand -- False-Alarm Reduction: Threshold Sweep
=======================================================
 fall_thr  heart_thr   FPR (normal)   recall (emergency)
     0.30       0.30          0.138                0.946
     0.30       0.40          0.025                0.946
     0.30       0.50          0.000                0.938
     0.30       0.60          0.000                0.938
     0.30       0.70          0.000                0.929
     0.30       0.80          0.000                0.921
     0.40       0.30          0.138                0.946
     0.40       0.40          0.025                0.946
     0.40       0.50          0.000                0.938
     0.40       0.60          0.000                0.938
     0.40       0.70          0.000                0.929
     0.40       0.80          0.000                0.921
     0.50       0.30          0.138                0.946
     0.50       0.40          0.025                0.946
     0.50       0.50          0.000                0.938
     0.50       0.60          0.000                0.938
     0.50       0.70          0.000                0.929
     0.50       0.80          0.000                0.921
     0.60       0.30          0.138                0.946
     0.60       0.40          0.025                0.946
     0.60       0.50          0.000                0.938
     0.60       0.60          0.000                0.938
     0.60       0.70          0.000                0.929
     0.60       0.80          0.000                0.921
     0.70       0.30          0.138                0.946
     0.70       0.40          0.025                0.946
     0.70       0.50          0.000                0.938
     0.70       0.60          0.000                0.938
     0.70       0.70          0.000                0.929
     0.70       0.80          0.000                0.921
     0.80       0.30          0.138                0.946
     0.80       0.40          0.025                0.946
     0.80       0.50          0.000                0.938
     0.80       0.60          0.000                0.938
     0.80       0.70          0.000                0.929
     0.80       0.80          0.000                0.921

Recommended thresholds (lowest FPR with recall >= 90%):
  fall_threshold=0.30, heart_threshold=0.50 -> FPR=0.000, recall=0.938
